Locality,BHK,Area_sqft,Furnishing,Floor_Number,Total_Building_Floors,Age_Years,Balconies,Bathrooms,Parking,Lift,Availability,Tenant_Type,Security_Deposit,Rent_INR
East Street,2 BHK,703,Fully Furnished,3,5,9,1,1,1,Yes,Immediate,Family,69934,34967
East Street,2 BHK,1036,Semi-Furnished,2,10,23,1,2,1,Yes,Immediate,Bachelor,60156,30078
East Street,3 BHK,1325,Semi-Furnished,4,5,3,2,2,1,No,After 1 Month,Bachelor,129722,64861
East Street,2 BHK,856,Semi-Furnished,1,6,4,1,2,1,Yes,After 2 Months,Family,30781,30781
East Street,2 BHK,733,Fully Furnished,2,6,20,2,2,2,Yes,Immediate,Bachelor,108416,54208
East Street,1 BHK,484,Semi-Furnished,1,3,13,1,1,2,No,Immediate,Bachelor,71118,23706
East Street,1 BHK,292,Unfurnished,2,4,19,0,1,1,Yes,Not Sure,Family,18130,9065
East Street,2 BHK,613,Semi-Furnished,5,5,2,1,2,1,Yes,Immediate,Bachelor,52012,26006
East Street,3 BHK,1095,Semi-Furnished,5,5,7,1,3,1,Yes,Immediate,Family,124390,62195
East Street,1 BHK,413,Unfurnished,0,10,9,0,1,2,Yes,Immediate,Family,9897,9897
East Street,1 BHK,369,Semi-Furnished,5,5,1,0,1,1,Yes,Immediate,Bachelor,12080,12080
East Street,3 BHK,1395,Fully Furnished,0,5,5,1,2,0,Yes,Not Sure,Both,195020,97510
East Street,3 BHK,1004,Unfurnished,1,3,14,1,3,2,No,Immediate,Bachelor,90934,45467
East Street,3 BHK,764,Semi-Furnished,4,10,14,1,2,2,Yes,Immediate,Family,148917,49639
East Street,2 BHK,851,Semi-Furnished,7,10,0,1,2,0,Yes,Immediate,Family,87216,43608
East Street,2 BHK,832,Semi-Furnished,4,6,2,0,2,1,Yes,Not Sure,Family,86890,43445
East Street,3 BHK,1157,Semi-Furnished,10,10,9,1,2,0,Yes,After 1 Month,Both,71142,35571
East Street,1 BHK,339,Fully Furnished,1,10,2,0,1,0,Yes,Not Sure,Bachelor,63912,21304
East Street,2 BHK,800,Fully Furnished,6,6,16,1,2,1,Yes,Not Sure,Bachelor,112014,56007
East Street,1 BHK,366,Fully Furnished,4,5,23,0,1,2,Yes,Not Sure,Bachelor,55368,18456
East Street,3 BHK,758,Unfurnished,2,5,6,1,2,1,Yes,Immediate,Both,94710,47355
East Street,2 BHK,726,Semi-Furnished,2,4,13,1,2,1,No,After 1 Month,Family,40298,40298
East Street,2 BHK,863,Semi-Furnished,4,4,2,1,2,0,Yes,After 1 Month,Family,50015,50015
East Street,2 BHK,745,Fully Furnished,4,10,3,1,2,1,Yes,Immediate,Family,83566,41783
East Street,2 BHK,790,Semi-Furnished,0,10,1,1,2,1,Yes,Immediate,Family,61662,30831
East Street,2 BHK,828,Unfurnished,1,8,13,1,1,0,Yes,Immediate,Bachelor,101007,33669
East Street,2 BHK,859,Unfurnished,5,5,2,1,1,1,Yes,After 1 Month,Family,64020,32010
East Street,1 BHK,200,Semi-Furnished,2,6,8,0,1,0,Yes,Immediate,Both,18246,9123
East Street,3 BHK,914,Semi-Furnished,5,10,14,1,3,1,Yes,After 2 Months,Family,98284,49142
East Street,2 BHK,760,Unfurnished,2,6,17,1,2,1,Yes,Not Sure,Family,26337,26337
East Street,2 BHK,722,Semi-Furnished,1,3,11,1,1,2,No,After 2 Months,Bachelor,72580,36290
East Street,2 BHK,949,Semi-Furnished,4,10,8,0,2,1,Yes,Immediate,Family,84130,42065
East Street,2 BHK,877,Unfurnished,8,15,21,1,2,1,Yes,Immediate,Both,29136,29136
East Street,3 BHK,1360,Semi-Furnished,1,4,23,3,2,1,Yes,Immediate,Family,165834,82917
East Street,1 BHK,435,Fully Furnished,3,6,16,0,1,2,Yes,Immediate,Family,45668,22834
East Street,2 BHK,765,Semi-Furnished,2,3,12,1,2,1,No,Immediate,Family,90116,45058
East Street,3 BHK,840,Fully Furnished,8,8,0,1,3,1,Yes,Immediate,Family,97128,48564
East Street,2 BHK,594,Unfurnished,8,15,18,1,2,1,No,Immediate,Family,55320,27660
East Street,2 BHK,693,Semi-Furnished,2,12,14,1,2,1,Yes,Immediate,Bachelor,37758,37758
East Street,2 BHK,900,Unfurnished,3,15,2,2,2,0,Yes,After 1 Month,Bachelor,77012,38506
East Street,1 BHK,459,Semi-Furnished,1,3,14,0,1,1,No,Immediate,Family,23848,11924
East Street,2 BHK,956,Semi-Furnished,0,8,20,2,2,1,Yes,Immediate,Family,78222,39111
East Street,1 BHK,467,Semi-Furnished,3,5,0,0,1,0,Yes,Immediate,Family,22466,11233
East Street,2 BHK,973,Semi-Furnished,2,4,7,1,2,1,Yes,Immediate,Family,36650,36650
East Street,3 BHK,786,Unfurnished,2,6,29,2,2,1,Yes,After 1 Month,Both,84454,42227
East Street,3 BHK,1290,Unfurnished,0,3,3,1,2,0,No,Immediate,Bachelor,77450,77450
East Street,1 BHK,420,Fully Furnished,8,10,4,0,1,0,Yes,Immediate,Bachelor,43926,14642
East Street,1 BHK,448,Semi-Furnished,5,10,14,0,1,0,No,Immediate,Family,22534,11267
East Street,2 BHK,725,Fully Furnished,8,12,14,2,2,1,No,After 1 Month,Bachelor,101112,50556
East Street,2 BHK,769,Semi-Furnished,13,15,4,1,2,2,Yes,Immediate,Bachelor,63968,31984
East Street,1 BHK,384,Fully Furnished,0,10,3,0,1,1,Yes,Immediate,Family,13393,13393
East Street,2 BHK,948,Unfurnished,3,3,14,1,2,1,No,Immediate,Family,45684,22842
Erandwane,2 BHK,867,Semi-Furnished,0,6,17,1,1,1,Yes,Immediate,Both,51290,25645
Erandwane,1 BHK,406,Semi-Furnished,10,15,6,0,1,1,Yes,After 1 Month,Family,37486,18743
Erandwane,1 BHK,288,Unfurnished,7,15,12,1,1,1,Yes,Immediate,Family,10476,10476
Erandwane,2 BHK,886,Fully Furnished,6,6,13,0,2,2,Yes,Immediate,Family,78746,39373
Erandwane,2 BHK,437,Semi-Furnished,10,10,5,0,2,1,Yes,Immediate,Family,72228,24076
Erandwane,3 BHK,725,Semi-Furnished,8,10,9,2,2,0,Yes,Immediate,Family,51453,51453
Erandwane,1 BHK,416,Semi-Furnished,1,6,8,1,1,1,Yes,Not Sure,Family,21644,10822
Erandwane,1 BHK,481,Semi-Furnished,5,6,12,0,1,1,Yes,After 1 Month,Family,18721,18721
Erandwane,1 BHK,516,Semi-Furnished,3,12,4,0,1,0,Yes,Not Sure,Both,27898,13949
Erandwane,1 BHK,361,Fully Furnished,4,6,22,0,1,0,Yes,After 1 Month,Family,47382,15794
Erandwane,1 BHK,491,Semi-Furnished,4,4,0,1,1,1,Yes,Not Sure,Family,27497,27497
Erandwane,1 BHK,439,Semi-Furnished,3,15,6,0,1,1,Yes,After 1 Month,Bachelor,42160,21080
Erandwane,1 BHK,413,Semi-Furnished,3,12,20,1,1,2,Yes,Not Sure,Family,24068,12034
Erandwane,1 BHK,417,Fully Furnished,5,5,16,0,1,1,Yes,Immediate,Family,45356,22678
Erandwane,1 BHK,461,Unfurnished,1,4,16,0,1,1,Yes,After 1 Month,Both,41262,20631
Erandwane,2 BHK,776,Semi-Furnished,7,8,16,2,2,0,Yes,After 2 Months,Family,84298,42149
Erandwane,2 BHK,811,Semi-Furnished,0,8,25,0,2,1,Yes,Not Sure,Family,56762,28381
Erandwane,2 BHK,947,Semi-Furnished,3,5,13,1,2,1,Yes,Immediate,Family,63244,31622
Erandwane,1 BHK,292,Semi-Furnished,8,10,8,0,1,0,Yes,Immediate,Both,14973,14973
Erandwane,2 BHK,986,Semi-Furnished,4,8,0,0,2,1,Yes,Not Sure,Bachelor,30857,30857
Erandwane,1 BHK,414,Semi-Furnished,2,15,5,0,1,1,Yes,Immediate,Both,23202,11601
Erandwane,3 BHK,845,Semi-Furnished,6,6,15,1,3,2,Yes,Immediate,Bachelor,63982,31991
Erandwane,2 BHK,609,Semi-Furnished,5,10,2,1,2,0,Yes,After 1 Month,Family,38882,38882
Erandwane,1 BHK,356,Unfurnished,4,6,18,0,1,1,Yes,Immediate,Family,14298,7149
Erandwane,3 BHK,1330,Unfurnished,3,3,28,1,3,0,No,Immediate,Family,59066,59066
Erandwane,1 BHK,297,Fully Furnished,6,12,2,0,1,1,Yes,Immediate,Bachelor,27906,13953
Erandwane,3 BHK,1457,Unfurnished,4,4,7,1,2,0,Yes,Immediate,Bachelor,56789,56789
Erandwane,1 BHK,354,Unfurnished,1,5,15,0,1,0,Yes,Immediate,Bachelor,29642,14821
Erandwane,2 BHK,1010,Fully Furnished,2,5,20,1,2,0,Yes,Immediate,Family,106280,53140
Erandwane,2 BHK,777,Semi-Furnished,1,3,0,1,2,0,No,Not Sure,Family,85344,42672
Erandwane,2 BHK,682,Semi-Furnished,0,8,3,1,2,2,No,Immediate,Family,49046,24523
Erandwane,2 BHK,652,Semi-Furnished,7,12,0,1,2,1,No,Not Sure,Bachelor,82071,27357
Erandwane,2 BHK,678,Fully Furnished,7,10,11,1,2,1,Yes,Not Sure,Family,79226,39613
Erandwane,1 BHK,432,Semi-Furnished,5,10,0,1,1,0,Yes,Immediate,Family,60303,20101
Erandwane,2 BHK,890,Fully Furnished,10,10,5,1,2,2,Yes,Immediate,Family,116952,58476
Erandwane,2 BHK,979,Unfurnished,7,10,23,1,2,1,Yes,Immediate,Bachelor,84242,42121
Erandwane,2 BHK,812,Semi-Furnished,5,10,1,0,1,1,Yes,Not Sure,Family,124353,41451
Erandwane,2 BHK,636,Fully Furnished,13,15,0,1,2,1,Yes,After 2 Months,Family,118395,39465
Erandwane,1 BHK,564,Unfurnished,3,6,8,0,1,1,No,Not Sure,Family,53283,17761
Erandwane,1 BHK,327,Semi-Furnished,1,12,3,0,1,1,Yes,Immediate,Family,11561,11561
Erandwane,1 BHK,486,Semi-Furnished,4,8,3,0,1,2,Yes,Immediate,Family,39074,19537
Erandwane,1 BHK,371,Semi-Furnished,7,12,14,0,1,0,Yes,After 1 Month,Bachelor,27354,13677
Erandwane,2 BHK,850,Fully Furnished,0,5,13,1,1,1,Yes,Immediate,Family,98376,49188
Erandwane,1 BHK,419,Unfurnished,10,10,18,0,1,1,No,Immediate,Family,17538,8769
Erandwane,1 BHK,245,Semi-Furnished,10,10,7,0,1,1,Yes,Immediate,Bachelor,9874,9874
Erandwane,1 BHK,444,Fully Furnished,0,10,2,0,1,1,Yes,Immediate,Family,41652,20826
Erandwane,2 BHK,832,Fully Furnished,1,5,9,1,2,1,Yes,Immediate,Both,106740,53370
Erandwane,2 BHK,869,Fully Furnished,6,12,9,1,2,1,Yes,Immediate,Bachelor,86385,28795
Erandwane,1 BHK,382,Fully Furnished,2,3,14,0,1,1,No,Immediate,Family,19188,19188
Erandwane,1 BHK,504,Semi-Furnished,0,4,12,0,1,2,Yes,Immediate,Both,41206,20603
Erandwane,3 BHK,1129,Unfurnished,3,4,14,1,3,1,Yes,Immediate,Family,64849,64849
Erandwane,1 BHK,460,Semi-Furnished,4,4,4,0,1,1,Yes,After 2 Months,Family,23314,11657
Erandwane,2 BHK,970,Fully Furnished,6,8,17,1,2,2,Yes,Immediate,Both,88632,44316
Erandwane,2 BHK,871,Semi-Furnished,3,5,5,1,2,1,Yes,After 2 Months,Family,79878,26626
Erandwane,1 BHK,457,Unfurnished,1,12,6,1,1,1,No,Immediate,Family,20405,20405
Erandwane,2 BHK,855,Semi-Furnished,0,6,3,0,2,1,Yes,Not Sure,Both,41485,41485
Erandwane,3 BHK,1166,Unfurnished,11,15,1,1,2,1,Yes,After 1 Month,Family,72956,36478
Erandwane,1 BHK,481,Semi-Furnished,1,5,19,1,1,0,Yes,After 1 Month,Bachelor,44012,22006
Erandwane,2 BHK,775,Semi-Furnished,3,10,8,1,2,0,Yes,After 1 Month,Family,45010,45010
Erandwane,1 BHK,418,Fully Furnished,6,6,11,0,1,1,Yes,Immediate,Family,65205,21735
Erandwane,1 BHK,369,Semi-Furnished,3,5,18,1,1,1,Yes,Immediate,Family,20384,10192
Erandwane,2 BHK,733,Semi-Furnished,6,12,7,1,2,0,Yes,Not Sure,Both,59144,29572
Erandwane,3 BHK,1013,Semi-Furnished,3,6,7,2,3,1,Yes,Immediate,Family,122908,61454
Erandwane,1 BHK,337,Semi-Furnished,3,3,0,0,1,1,No,After 1 Month,Bachelor,21886,10943
Erandwane,2 BHK,687,Semi-Furnished,5,10,1,0,1,2,Yes,Immediate,Bachelor,41186,41186
Erandwane,1 BHK,539,Fully Furnished,1,3,8,1,1,2,No,After 1 Month,Bachelor,32299,32299
Erandwane,1 BHK,427,Fully Furnished,1,3,22,0,1,1,No,Immediate,Family,43354,21677
Erandwane,2 BHK,845,Semi-Furnished,0,3,23,1,2,1,No,Not Sure,Family,106722,35574
Erandwane,3 BHK,953,Semi-Furnished,8,12,9,2,2,1,Yes,Immediate,Family,164697,54899
Erandwane,1 BHK,491,Semi-Furnished,2,15,13,0,1,1,Yes,Not Sure,Family,34986,17493
Erandwane,3 BHK,877,Semi-Furnished,3,4,1,1,2,0,Yes,Immediate,Family,47055,47055
Erandwane,2 BHK,884,Semi-Furnished,1,5,17,1,2,2,Yes,Immediate,Family,45052,45052
Erandwane,2 BHK,1033,Unfurnished,6,6,4,1,2,2,Yes,Immediate,Family,40457,40457
Erandwane,1 BHK,376,Unfurnished,4,10,4,0,1,1,Yes,Not Sure,Family,45300,15100
Erandwane,2 BHK,807,Unfurnished,3,4,20,1,2,1,Yes,After 1 Month,Bachelor,79508,39754
Erandwane,2 BHK,788,Fully Furnished,3,8,14,1,2,1,Yes,Not Sure,Family,40632,40632
Erandwane,1 BHK,390,Unfurnished,1,3,7,0,1,1,No,Not Sure,Family,17562,17562
Erandwane,1 BHK,487,Semi-Furnished,6,8,4,0,1,1,Yes,Immediate,Bachelor,28544,14272
Erandwane,2 BHK,961,Unfurnished,1,10,15,0,2,1,Yes,Immediate,Family,100214,50107
Erandwane,1 BHK,391,Semi-Furnished,0,4,3,0,1,1,Yes,Immediate,Family,49404,16468
Erandwane,1 BHK,484,Unfurnished,1,10,6,0,1,1,Yes,Not Sure,Family,38224,19112
Erandwane,1 BHK,316,Semi-Furnished,3,10,7,0,1,1,Yes,Not Sure,Family,30304,15152
Erandwane,1 BHK,436,Unfurnished,2,3,7,0,1,0,No,Immediate,Family,39184,19592
Erandwane,2 BHK,911,Unfurnished,3,8,20,1,2,2,Yes,Immediate,Family,60268,30134
Erandwane,3 BHK,965,Semi-Furnished,1,8,11,2,2,1,Yes,Immediate,Family,68955,68955
Erandwane,3 BHK,1327,Semi-Furnished,1,15,19,1,3,1,Yes,After 1 Month,Family,131930,65965
Erandwane,1 BHK,443,Unfurnished,2,3,25,0,1,2,No,Not Sure,Family,51060,17020
Erandwane,1 BHK,343,Semi-Furnished,2,5,3,0,1,0,Yes,Not Sure,Family,22574,11287
Erandwane,3 BHK,1047,Semi-Furnished,6,6,13,1,3,2,Yes,Immediate,Family,93918,46959
Erandwane,3 BHK,1396,Fully Furnished,2,15,15,1,2,1,Yes,Immediate,Both,270903,90301
Erandwane,2 BHK,798,Unfurnished,8,12,21,0,2,1,Yes,Immediate,Family,47264,23632
Erandwane,1 BHK,367,Semi-Furnished,2,3,14,0,1,1,No,After 2 Months,Family,20194,10097
Erandwane,2 BHK,778,Semi-Furnished,5,6,11,1,1,1,Yes,Not Sure,Both,135303,45101
Erandwane,1 BHK,525,Unfurnished,0,4,16,0,1,1,Yes,Not Sure,Both,27318,13659
Erandwane,2 BHK,785,Fully Furnished,3,4,6,1,2,2,Yes,Immediate,Family,92258,46129
Erandwane,2 BHK,942,Semi-Furnished,3,4,1,0,2,0,Yes,Not Sure,Bachelor,36246,36246
Erandwane,3 BHK,1139,Semi-Furnished,0,15,3,3,3,2,Yes,Not Sure,Family,98336,49168
Erandwane,2 BHK,746,Semi-Furnished,0,8,4,1,2,0,Yes,Immediate,Family,78932,39466
Erandwane,2 BHK,639,Fully Furnished,5,8,18,1,2,2,Yes,Not Sure,Family,47262,23631
Erandwane,3 BHK,1304,Semi-Furnished,6,6,11,2,3,1,Yes,Immediate,Bachelor,82435,82435
FC Road,1 BHK,411,Semi-Furnished,5,12,9,0,1,1,Yes,Immediate,Family,71984,35992
FC Road,1 BHK,304,Semi-Furnished,3,3,1,0,1,1,No,Immediate,Family,41416,20708
FC Road,2 BHK,1016,Unfurnished,2,12,1,1,2,2,Yes,Immediate,Both,114735,114735
FC Road,2 BHK,613,Semi-Furnished,3,5,19,0,2,1,Yes,Immediate,Both,123700,61850
FC Road,1 BHK,363,Fully Furnished,12,12,20,0,1,1,Yes,After 2 Months,Bachelor,39098,19549
FC Road,3 BHK,1174,Semi-Furnished,8,12,12,3,2,1,Yes,Immediate,Bachelor,586683,195561
FC Road,1 BHK,321,Semi-Furnished,3,6,7,0,1,1,Yes,Not Sure,Family,79959,26653
FC Road,2 BHK,1034,Semi-Furnished,0,8,4,1,2,1,Yes,Immediate,Both,151302,75651
FC Road,1 BHK,373,Semi-Furnished,1,3,0,0,1,0,No,Immediate,Both,70096,35048
FC Road,3 BHK,1502,Semi-Furnished,10,12,1,1,3,1,Yes,Immediate,Both,266938,133469
FC Road,1 BHK,519,Fully Furnished,14,15,10,0,1,1,Yes,After 1 Month,Bachelor,34342,34342
FC Road,3 BHK,1134,Unfurnished,2,4,17,3,2,1,Yes,After 1 Month,Family,192990,96495
FC Road,2 BHK,834,Unfurnished,0,5,27,0,2,1,Yes,Not Sure,Bachelor,276474,92158
FC Road,1 BHK,451,Unfurnished,4,12,12,0,1,1,Yes,After 1 Month,Both,82642,41321
FC Road,3 BHK,1341,Semi-Furnished,9,10,17,1,3,1,Yes,After 1 Month,Family,176578,88289
FC Road,2 BHK,838,Unfurnished,4,4,7,1,2,1,Yes,Immediate,Bachelor,48454,48454
FC Road,1 BHK,521,Semi-Furnished,1,4,3,1,1,1,Yes,Immediate,Family,106170,53085
FC Road,1 BHK,402,Fully Furnished,9,15,14,0,1,1,Yes,Immediate,Bachelor,78154,39077
FC Road,2 BHK,771,Unfurnished,0,10,12,2,2,1,Yes,Immediate,Family,173814,86907
FC Road,1 BHK,353,Semi-Furnished,8,8,16,0,1,1,Yes,After 1 Month,Bachelor,33878,33878
FC Road,2 BHK,781,Semi-Furnished,4,4,0,0,2,1,Yes,After 1 Month,Family,343524,114508
FC Road,1 BHK,474,Unfurnished,8,8,3,0,1,1,Yes,Immediate,Bachelor,108390,36130
FC Road,3 BHK,1312,Semi-Furnished,2,6,13,1,2,1,Yes,Immediate,Family,335991,111997
FC Road,2 BHK,590,Unfurnished,10,10,13,1,2,1,Yes,Not Sure,Bachelor,51852,51852
FC Road,1 BHK,487,Semi-Furnished,9,12,10,0,1,1,Yes,Immediate,Family,79143,26381
FC Road,2 BHK,684,Semi-Furnished,2,10,16,0,2,1,Yes,Immediate,Family,217971,72657
FC Road,2 BHK,633,Unfurnished,3,3,16,1,2,1,No,Immediate,Family,102366,51183
FC Road,3 BHK,1065,Semi-Furnished,1,4,4,1,2,1,Yes,Immediate,Bachelor,506154,168718
FC Road,2 BHK,1040,Unfurnished,9,12,12,1,1,1,Yes,After 1 Month,Family,211896,70632
FC Road,1 BHK,235,Semi-Furnished,1,3,20,1,1,0,No,Not Sure,Family,59670,19890
FC Road,2 BHK,578,Semi-Furnished,6,15,14,1,2,2,Yes,Immediate,Bachelor,101552,50776
FC Road,2 BHK,700,Unfurnished,11,15,2,0,2,1,Yes,Immediate,Family,114454,57227
FC Road,1 BHK,486,Semi-Furnished,11,12,10,0,1,1,Yes,Not Sure,Both,108884,54442
FC Road,1 BHK,383,Unfurnished,8,15,17,0,1,2,Yes,Immediate,Family,40820,20410
FC Road,1 BHK,495,Semi-Furnished,3,5,14,1,1,1,Yes,Immediate,Both,80104,40052
FC Road,2 BHK,573,Semi-Furnished,1,10,15,2,1,1,Yes,Not Sure,Family,106552,53276
FC Road,2 BHK,910,Semi-Furnished,1,5,4,1,1,1,Yes,After 1 Month,Family,253154,126577
FC Road,1 BHK,358,Unfurnished,5,12,9,0,1,1,No,Immediate,Family,75388,37694
FC Road,1 BHK,517,Semi-Furnished,7,8,13,0,1,1,Yes,Not Sure,Family,89342,44671
FC Road,2 BHK,784,Unfurnished,5,10,1,0,2,1,No,Immediate,Family,64487,64487
FC Road,2 BHK,823,Semi-Furnished,2,15,12,1,2,1,Yes,Not Sure,Family,279996,93332
FC Road,1 BHK,338,Fully Furnished,3,8,8,0,1,2,Yes,Immediate,Bachelor,34795,34795
FC Road,1 BHK,456,Semi-Furnished,0,4,3,0,1,2,Yes,Not Sure,Family,52250,26125
FC Road,2 BHK,717,Semi-Furnished,3,5,14,1,1,1,Yes,Not Sure,Bachelor,41336,41336
FC Road,2 BHK,794,Unfurnished,3,6,16,1,2,2,Yes,Not Sure,Family,127514,63757
FC Road,3 BHK,1407,Semi-Furnished,6,10,17,3,2,1,Yes,After 2 Months,Family,363098,181549
FC Road,2 BHK,832,Semi-Furnished,3,4,11,1,1,1,Yes,Immediate,Family,103516,51758
FC Road,3 BHK,978,Unfurnished,2,3,34,2,2,2,No,After 1 Month,Family,144670,72335
FC Road,1 BHK,498,Semi-Furnished,3,8,4,0,1,2,Yes,Immediate,Family,124064,62032
FC Road,2 BHK,702,Fully Furnished,1,8,1,1,2,2,Yes,Immediate,Family,122188,61094
FC Road,2 BHK,843,Semi-Furnished,3,5,14,0,2,2,Yes,Immediate,Bachelor,107730,53865
FC Road,2 BHK,944,Semi-Furnished,2,6,25,1,2,1,Yes,After 1 Month,Family,306789,102263
FC Road,2 BHK,963,Semi-Furnished,0,3,15,2,2,1,No,Immediate,Bachelor,63202,63202
FC Road,3 BHK,1173,Unfurnished,9,12,16,1,3,1,Yes,Immediate,Family,146760,146760
FC Road,2 BHK,940,Semi-Furnished,5,5,15,1,2,1,Yes,Immediate,Bachelor,229584,114792
FC Road,1 BHK,445,Fully Furnished,3,10,16,1,1,2,Yes,After 1 Month,Family,110952,55476
FC Road,2 BHK,732,Fully Furnished,0,4,9,0,1,1,Yes,After 1 Month,Family,104270,52135
FC Road,2 BHK,856,Semi-Furnished,2,6,3,1,1,1,Yes,Immediate,Family,197973,65991
FC Road,1 BHK,347,Unfurnished,4,12,12,1,1,0,Yes,Immediate,Family,93966,31322
FC Road,3 BHK,1045,Semi-Furnished,2,5,6,2,2,1,Yes,Immediate,Family,394701,131567
FC Road,1 BHK,376,Semi-Furnished,2,12,7,0,1,1,Yes,Immediate,Family,79890,39945
FC Road,1 BHK,357,Semi-Furnished,2,6,15,0,1,1,Yes,Not Sure,Family,49206,24603
FC Road,2 BHK,889,Unfurnished,1,5,13,1,1,1,Yes,Immediate,Bachelor,131848,65924
FC Road,2 BHK,623,Semi-Furnished,3,4,25,1,2,1,Yes,After 2 Months,Family,72342,36171
FC Road,1 BHK,437,Semi-Furnished,0,12,1,0,1,1,No,After 1 Month,Family,67674,33837
FC Road,2 BHK,827,Fully Furnished,7,8,14,1,2,1,Yes,Immediate,Family,216582,108291
FC Road,2 BHK,879,Semi-Furnished,1,3,34,1,2,1,No,Immediate,Family,198824,99412
FC Road,3 BHK,1111,Unfurnished,0,4,6,1,3,2,Yes,After 1 Month,Family,154068,154068
FC Road,3 BHK,1079,Semi-Furnished,3,12,12,1,3,1,Yes,Immediate,Family,384462,128154
FC Road,1 BHK,527,Unfurnished,1,4,8,0,1,1,Yes,Not Sure,Bachelor,51494,25747
FC Road,1 BHK,451,Semi-Furnished,3,4,14,0,1,1,Yes,Not Sure,Both,54020,54020
FC Road,1 BHK,491,Unfurnished,6,10,0,1,1,2,Yes,Immediate,Bachelor,52414,26207
FC Road,2 BHK,815,Unfurnished,4,10,8,0,2,1,Yes,Immediate,Family,147468,73734
FC Road,1 BHK,443,Semi-Furnished,5,12,12,1,1,1,Yes,Immediate,Family,94500,47250
FC Road,1 BHK,458,Unfurnished,2,4,28,0,1,1,No,Immediate,Family,38108,19054
FC Road,2 BHK,798,Fully Furnished,3,4,2,1,2,0,Yes,Immediate,Family,157250,78625
FC Road,1 BHK,384,Semi-Furnished,5,15,14,0,1,1,Yes,Not Sure,Bachelor,63100,31550
FC Road,2 BHK,844,Semi-Furnished,2,8,1,1,1,1,Yes,Immediate,Family,119940,59970
FC Road,2 BHK,849,Fully Furnished,2,4,9,1,2,0,Yes,Not Sure,Family,187896,93948
FC Road,2 BHK,1019,Unfurnished,2,4,6,1,2,2,Yes,Immediate,Family,199630,99815
FC Road,1 BHK,376,Semi-Furnished,6,10,13,0,1,0,No,Immediate,Both,75960,25320
FC Road,2 BHK,645,Unfurnished,2,8,11,1,1,2,Yes,After 1 Month,Both,140052,70026
FC Road,1 BHK,375,Fully Furnished,5,5,8,0,1,1,Yes,Immediate,Family,89722,44861
FC Road,2 BHK,629,Fully Furnished,0,5,6,1,1,1,Yes,Immediate,Family,89072,44536
FC Road,2 BHK,905,Semi-Furnished,6,8,6,1,2,1,Yes,Immediate,Family,165038,82519
FC Road,2 BHK,807,Fully Furnished,6,12,5,1,2,1,Yes,Not Sure,Family,326061,108687
FC Road,1 BHK,507,Semi-Furnished,3,5,7,0,1,1,Yes,Immediate,Family,119188,59594
FC Road,2 BHK,716,Semi-Furnished,7,12,13,1,2,1,Yes,After 1 Month,Family,131292,65646
FC Road,1 BHK,340,Unfurnished,3,4,16,0,1,1,Yes,After 1 Month,Family,35372,17686
FC Road,1 BHK,397,Unfurnished,2,4,17,0,1,2,Yes,Immediate,Bachelor,116094,38698
FC Road,1 BHK,378,Semi-Furnished,0,3,26,0,1,1,No,Immediate,Family,61214,30607
FC Road,1 BHK,426,Semi-Furnished,2,10,15,0,1,2,Yes,Not Sure,Family,33350,33350
FC Road,1 BHK,401,Fully Furnished,1,5,2,1,1,1,Yes,Not Sure,Family,69088,34544
FC Road,2 BHK,923,Fully Furnished,1,3,2,1,2,2,No,Immediate,Both,210138,70046
FC Road,1 BHK,624,Unfurnished,6,8,5,1,1,2,Yes,Immediate,Both,175461,58487
FC Road,1 BHK,395,Fully Furnished,6,6,7,0,1,1,Yes,Immediate,Bachelor,89482,44741
FC Road,3 BHK,1449,Semi-Furnished,2,8,8,1,2,1,Yes,Immediate,Bachelor,687759,229253
FC Road,1 BHK,535,Unfurnished,15,15,13,1,1,1,Yes,Immediate,Family,90174,45087
FC Road,1 BHK,445,Semi-Furnished,5,6,1,0,1,2,No,Immediate,Bachelor,87256,43628
FC Road,3 BHK,1353,Unfurnished,13,15,16,2,2,1,Yes,Immediate,Both,354771,118257
Fergusson College Road,3 BHK,1182,Semi-Furnished,15,15,11,2,2,1,Yes,Not Sure,Family,76784,76784
Fergusson College Road,1 BHK,310,Semi-Furnished,2,10,11,0,1,1,Yes,Immediate,Family,28702,14351
Fergusson College Road,2 BHK,740,Semi-Furnished,6,6,11,1,2,2,Yes,Immediate,Bachelor,39448,39448
Fergusson College Road,1 BHK,510,Unfurnished,0,4,18,0,1,1,Yes,Immediate,Bachelor,15314,15314
Fergusson College Road,2 BHK,804,Unfurnished,4,15,1,1,2,0,Yes,Immediate,Family,78678,39339
Fergusson College Road,2 BHK,890,Fully Furnished,4,10,0,0,2,1,Yes,Immediate,Family,104628,52314
Fergusson College Road,1 BHK,362,Fully Furnished,11,12,4,0,1,0,Yes,Not Sure,Family,32170,16085
Fergusson College Road,3 BHK,1134,Unfurnished,4,6,32,2,3,1,Yes,Immediate,Both,132960,66480
Fergusson College Road,3 BHK,1094,Semi-Furnished,4,6,18,2,3,1,Yes,After 2 Months,Family,126906,63453
Fergusson College Road,2 BHK,977,Semi-Furnished,4,4,6,0,2,1,Yes,After 1 Month,Family,146268,48756
Fergusson College Road,3 BHK,1230,Unfurnished,10,12,20,2,3,2,Yes,Not Sure,Bachelor,194721,64907
